Date,Price,Open,High,Low,Vol.,Change %,commodity
2024-09-30,22.67,22.7,22.84,22.1,18.86K,-0.53%,US Sugar 11 Futures Historical Data
2024-09-27,22.79,23.22,23.22,22.51,32.86K,-2.23%,US Sugar 11 Futures Historical Data
2024-09-26,23.31,23.58,23.71,23.23,23.47K,-0.47%,US Sugar 11 Futures Historical Data
2024-09-25,23.42,22.99,23.57,22.9,32.17K,1.30%,US Sugar 11 Futures Historical Data
2024-09-24,23.12,22.5,23.3,22.38,38.33K,2.53%,US Sugar 11 Futures Historical Data
2024-09-23,22.55,22.41,23.17,22.28,35.55K,-0.49%,US Sugar 11 Futures Historical Data
2024-09-20,22.66,21.95,23.13,21.95,72.39K,3.33%,US Sugar 11 Futures Historical Data
2024-09-19,21.93,21.0,22.08,20.97,60.88K,3.64%,US Sugar 11 Futures Historical Data
2024-09-18,21.16,19.92,21.4,19.84,71.75K,5.91%,US Sugar 11 Futures Historical Data
2024-09-17,19.98,19.18,20.15,19.06,88.67K,4.17%,US Sugar 11 Futures Historical Data
2024-09-16,19.18,18.99,19.43,18.84,81.28K,0.89%,US Sugar 11 Futures Historical Data
2024-09-13,19.01,19.05,19.42,18.92,95.00K,-0.31%,US Sugar 11 Futures Historical Data
2024-09-12,19.07,18.7,19.24,18.69,110.33K,1.82%,US Sugar 11 Futures Historical Data
2024-09-11,18.73,18.5,18.98,18.44,97.77K,1.41%,US Sugar 11 Futures Historical Data
2024-09-10,18.47,18.83,18.87,18.43,99.29K,-1.91%,US Sugar 11 Futures Historical Data
2024-09-09,18.83,18.92,19.04,18.6,101.74K,-0.42%,US Sugar 11 Futures Historical Data
2024-09-06,18.91,19.29,19.61,18.84,63.02K,-1.61%,US Sugar 11 Futures Historical Data
2024-09-05,19.22,19.25,19.57,19.15,48.51K,-0.10%,US Sugar 11 Futures Historical Data
2024-09-04,19.24,19.4,19.54,19.07,58.56K,-1.28%,US Sugar 11 Futures Historical Data
2024-09-03,19.49,19.12,19.77,19.02,70.97K,0.57%,US Sugar 11 Futures Historical Data
2024-08-30,19.38,19.88,19.95,19.28,71.57K,-2.56%,US Sugar 11 Futures Historical Data
2024-08-29,19.89,19.56,19.98,19.45,80.33K,1.79%,US Sugar 11 Futures Historical Data
2024-08-28,19.54,19.61,19.66,19.12,87.73K,-0.31%,US Sugar 11 Futures Historical Data
2024-08-27,19.6,19.18,19.68,18.52,97.20K,2.94%,US Sugar 11 Futures Historical Data
2024-08-26,19.04,18.5,19.17,18.5,90.64K,3.53%,US Sugar 11 Futures Historical Data
2024-08-23,18.39,17.91,18.43,17.89,56.10K,3.03%,US Sugar 11 Futures Historical Data
2024-08-22,17.85,17.68,18.06,17.64,37.78K,1.13%,US Sugar 11 Futures Historical Data
2024-08-21,17.65,17.6,17.74,17.52,38.19K,0.46%,US Sugar 11 Futures Historical Data
2024-08-20,17.57,18.09,18.12,17.52,59.89K,-2.50%,US Sugar 11 Futures Historical Data
2024-08-19,18.02,18.0,18.13,17.92,31.10K,-0.06%,US Sugar 11 Futures Historical Data
2024-08-16,18.03,17.85,18.37,17.84,37.17K,0.84%,US Sugar 11 Futures Historical Data
2024-08-15,17.88,17.98,18.09,17.81,36.46K,-0.50%,US Sugar 11 Futures Historical Data
2024-08-14,17.97,18.36,18.44,17.91,42.17K,-2.28%,US Sugar 11 Futures Historical Data
2024-08-13,18.39,18.35,18.7,18.3,36.50K,0.55%,US Sugar 11 Futures Historical Data
2024-08-12,18.29,18.52,18.73,18.23,34.13K,-1.03%,US Sugar 11 Futures Historical Data
2024-08-09,18.48,18.5,18.88,18.31,42.03K,-0.48%,US Sugar 11 Futures Historical Data
2024-08-08,18.57,18.08,18.85,17.95,69.03K,2.37%,US Sugar 11 Futures Historical Data
2024-08-07,18.14,17.87,18.26,17.8,37.38K,1.51%,US Sugar 11 Futures Historical Data
2024-08-06,17.87,18.1,18.13,17.77,44.37K,-1.16%,US Sugar 11 Futures Historical Data
2024-08-05,18.08,18.05,18.35,17.64,57.57K,-0.11%,US Sugar 11 Futures Historical Data
2024-08-02,18.1,18.53,18.67,18.0,57.77K,-2.16%,US Sugar 11 Futures Historical Data
2024-08-01,18.5,19.0,19.22,18.39,54.60K,-2.32%,US Sugar 11 Futures Historical Data
2024-07-31,18.94,19.18,19.32,18.75,52.29K,-0.94%,US Sugar 11 Futures Historical Data
2024-07-30,19.12,19.06,19.14,18.81,39.58K,0.58%,US Sugar 11 Futures Historical Data
2024-07-29,19.01,18.5,19.05,18.47,55.99K,3.20%,US Sugar 11 Futures Historical Data
2024-07-26,18.42,18.7,18.74,18.32,41.57K,-1.29%,US Sugar 11 Futures Historical Data
2024-07-25,18.66,18.0,18.7,17.92,71.67K,4.19%,US Sugar 11 Futures Historical Data
2024-07-24,17.91,18.2,18.31,17.86,74.07K,-1.38%,US Sugar 11 Futures Historical Data
2024-07-23,18.16,18.3,18.41,18.08,55.65K,-0.77%,US Sugar 11 Futures Historical Data
2024-07-22,18.3,18.66,18.74,18.25,59.03K,-1.93%,US Sugar 11 Futures Historical Data
2024-07-19,18.66,19.0,19.0,18.55,59.28K,-1.48%,US Sugar 11 Futures Historical Data
2024-07-18,18.94,19.36,19.38,18.81,62.01K,-2.17%,US Sugar 11 Futures Historical Data
2024-07-17,19.36,19.6,19.6,19.15,44.80K,-1.33%,US Sugar 11 Futures Historical Data
2024-07-16,19.62,19.82,19.88,19.54,35.35K,-0.71%,US Sugar 11 Futures Historical Data
2024-07-15,19.76,19.15,19.82,19.09,55.84K,2.92%,US Sugar 11 Futures Historical Data
2024-07-12,19.2,19.45,19.53,19.18,46.49K,-1.18%,US Sugar 11 Futures Historical Data
2024-07-11,19.43,19.79,19.9,19.39,62.65K,-1.92%,US Sugar 11 Futures Historical Data
2024-07-10,19.81,19.69,20.12,19.52,53.14K,0.97%,US Sugar 11 Futures Historical Data
2024-07-09,19.62,20.31,20.31,19.61,53.84K,-2.53%,US Sugar 11 Futures Historical Data
2024-07-08,20.13,20.13,20.37,19.83,54.20K,-0.05%,US Sugar 11 Futures Historical Data
2024-07-05,20.14,20.53,20.67,20.08,58.23K,-1.90%,US Sugar 11 Futures Historical Data
2024-07-03,20.53,20.61,20.73,20.45,55.07K,-0.39%,US Sugar 11 Futures Historical Data
2024-07-02,20.61,20.14,20.78,19.93,74.28K,1.88%,US Sugar 11 Futures Historical Data
2024-07-01,20.23,20.25,20.41,20.06,55.38K,-0.39%,US Sugar 11 Futures Historical Data
2024-06-28,20.31,20.12,20.33,19.9,9.41K,0.94%,US Sugar 11 Futures Historical Data
2024-06-27,20.12,19.29,20.16,19.23,19.39K,4.57%,US Sugar 11 Futures Historical Data
2024-06-26,19.24,19.1,19.31,18.91,28.35K,0.73%,US Sugar 11 Futures Historical Data
2024-06-25,19.1,19.47,19.47,18.84,54.32K,-1.60%,US Sugar 11 Futures Historical Data
2024-06-24,19.41,18.92,19.44,18.82,76.21K,2.32%,US Sugar 11 Futures Historical Data
2024-06-21,18.97,18.92,19.06,18.81,62.11K,0.42%,US Sugar 11 Futures Historical Data
2024-06-20,18.89,19.1,19.43,18.82,71.04K,-0.16%,US Sugar 11 Futures Historical Data
2024-06-18,18.92,18.93,19.19,18.81,52.59K,-0.32%,US Sugar 11 Futures Historical Data
2024-06-17,18.98,19.32,19.32,18.81,87.48K,-2.32%,US Sugar 11 Futures Historical Data
2024-06-14,19.43,19.49,19.6,19.27,61.21K,-0.82%,US Sugar 11 Futures Historical Data
2024-06-13,19.59,19.05,19.64,19.05,106.31K,2.57%,US Sugar 11 Futures Historical Data
2024-06-12,19.1,18.75,19.19,18.73,85.54K,1.65%,US Sugar 11 Futures Historical Data
2024-06-11,18.79,18.7,18.95,18.59,69.51K,0.86%,US Sugar 11 Futures Historical Data
2024-06-10,18.63,18.95,19.3,18.6,103.86K,-1.95%,US Sugar 11 Futures Historical Data
2024-06-07,19.0,19.2,19.37,18.76,124.34K,-1.14%,US Sugar 11 Futures Historical Data
